n_clusters	metric	value	method	long_method	feature_type	tile_size	distance	ndim	resolution	rds_file	clustering_file	snn_file	seed
1	10	ARI	0.952473236452025	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed0/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed0/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	0
2	10	AMI	0.940768041294419	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed0/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed0/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	0
3	10	MI	2.23210978348401	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed0/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed0/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	0
4	10	VI	0.148725870850958	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed0/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed0/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	0
5	10	AW	0.997455758803686	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed0/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed0/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	0
6	10	AV	0.911372818880467	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed0/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed0/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	0
7	10	AW2	0.996269131099873	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed0/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed0/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	0
8	10	AV2	0.884481351678146	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed0/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed0/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	0
9	10	ARI2	0.937053028330321	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed0/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed0/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	0
10	10	ARI	0.952473236452025	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed2/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed2/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	2
11	10	AMI	0.940768041294419	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed2/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed2/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	2
12	10	MI	2.23210978348401	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed2/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed2/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	2
13	10	VI	0.148725870850958	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed2/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed2/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	2
14	10	AW	0.997455758803686	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed2/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed2/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	2
15	10	AV	0.911372818880467	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed2/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed2/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	2
16	10	AW2	0.996269131099873	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed2/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed2/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	2
17	10	AV2	0.884481351678146	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed2/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed2/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	2
18	10	ARI2	0.937053028330321	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed2/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed2/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	2
19	10	ARI	0.952473236452025	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed5/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed5/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	5
20	10	AMI	0.940768041294419	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed5/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed5/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	5
21	10	MI	2.23210978348401	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed5/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed5/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	5
22	10	VI	0.148725870850958	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed5/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed5/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	5
23	10	AW	0.997455758803686	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed5/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed5/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	5
24	10	AV	0.911372818880467	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed5/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed5/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	5
25	10	AW2	0.996269131099873	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed5/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed5/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	5
26	10	AV2	0.884481351678146	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed5/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed5/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	5
27	10	ARI2	0.937053028330321	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed5/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed5/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	5
28	10	ARI	0.952473236452025	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed42/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed42/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	42
29	10	AMI	0.940768041294419	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed42/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed42/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	42
30	10	MI	2.23210978348401	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed42/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed42/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	42
31	10	VI	0.148725870850958	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed42/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed42/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	42
32	10	AW	0.997455758803686	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed42/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed42/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	42
33	10	AV	0.911372818880467	Signac	Signac_by_cluster_peaks	by_cluster_peaks	0	default	15	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed42/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed42/r0.05.tsv	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	42
