file	scenario	workflow	method	feature_type	tile_size	distance	ndim	seed	filename	resolution	rds_file	clustering_file	long_method	snn_file	n_clusters
1	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed0/r0.05_metrics.tsv	candidate1	evaluation	Signac	by_cluster_peaks	0	default	15	0	r0.05_metrics.tsv	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed0/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed0/r0.05.tsv	Signac_by_cluster_peaks	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	10
2	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed2/r0.05_metrics.tsv	candidate1	evaluation	Signac	by_cluster_peaks	0	default	15	2	r0.05_metrics.tsv	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed2/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed2/r0.05.tsv	Signac_by_cluster_peaks	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	10
3	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed5/r0.05_metrics.tsv	candidate1	evaluation	Signac	by_cluster_peaks	0	default	15	5	r0.05_metrics.tsv	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed5/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed5/r0.05.tsv	Signac_by_cluster_peaks	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	10
4	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed42/r0.05_metrics.tsv	candidate1	evaluation	Signac	by_cluster_peaks	0	default	15	42	r0.05_metrics.tsv	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed42/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed42/r0.05.tsv	Signac_by_cluster_peaks	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	10
5	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed123/r0.05_metrics.tsv	candidate1	evaluation	Signac	by_cluster_peaks	0	default	15	123	r0.05_metrics.tsv	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed123/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed123/r0.05.tsv	Signac_by_cluster_peaks	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	10
6	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed197/r0.05_metrics.tsv	candidate1	evaluation	Signac	by_cluster_peaks	0	default	15	197	r0.05_metrics.tsv	0.05	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed197/r0.05_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed197/r0.05.tsv	Signac_by_cluster_peaks	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	10
7	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed0/r0.1_metrics.tsv	candidate1	evaluation	Signac	by_cluster_peaks	0	default	15	0	r0.1_metrics.tsv	0.1	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed0/r0.1_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed0/r0.1.tsv	Signac_by_cluster_peaks	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	10
8	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed2/r0.1_metrics.tsv	candidate1	evaluation	Signac	by_cluster_peaks	0	default	15	2	r0.1_metrics.tsv	0.1	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed2/r0.1_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed2/r0.1.tsv	Signac_by_cluster_peaks	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	10
9	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed5/r0.1_metrics.tsv	candidate1	evaluation	Signac	by_cluster_peaks	0	default	15	5	r0.1_metrics.tsv	0.1	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed5/r0.1_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed5/r0.1.tsv	Signac_by_cluster_peaks	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	10
10	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed42/r0.1_metrics.tsv	candidate1	evaluation	Signac	by_cluster_peaks	0	default	15	42	r0.1_metrics.tsv	0.1	candidate1/evaluation/Signac/by_cluster_peaks/0/default/15/seed42/r0.1_evaluation.RDS	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/seed42/r0.1.tsv	Signac_by_cluster_peaks	candidate1/clustering/Signac/by_cluster_peaks/0/default/15/sobj_SNN.RDS	10
